Daily ED Attendances by Hospital,,,,,,,,,
,,,,,,,,,
Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
01/01/2023,64,351,286,252,257,309,333,336,
01/02/2023,61,386,326,314,334,342,346,370,
01/03/2023,76,436,401,364,352,343,397,422,
01/04/2023,74,354,311,330,286,305,327,361,
01/05/2023,61,373,335,320,309,337,351,366,
01/06/2023,49,353,305,287,304,302,340,350,
01/07/2023,48,296,296,274,268,286,309,391,
01/08/2023,56,342,273,255,268,257,359,278,
01/09/2023,83,398,379,382,341,359,409,426,
01/10/2023,59,389,374,350,319,301,336,382,
01/11/2023,51,354,305,316,300,307,325,316,
01/12/2023,52,351,287,345,276,302,323,354,
01/13/2023,54,381,304,308,291,275,285,355,
01/14/2023,42,327,291,298,247,281,307,317,
01/15/2023,68,282,270,242,235,262,319,304,
01/16/2023,67,403,341,385,325,342,362,388,
01/17/2023,55,354,313,327,242,278,315,313,
01/18/2023,52,332,308,314,262,290,311,333,
01/19/2023,50,329,300,288,265,277,277,333,
01/20/2023,47,322,251,275,274,293,286,287,
01/21/2023,55,300,218,233,225,252,263,280,
01/22/2023,39,288,239,273,162,208,285,278,
01/23/2023,57,340,293,291,245,303,312,352,
01/24/2023,45,360,338,358,268,324,368,363,
01/25/2023,54,389,372,278,337,323,390,424,
01/26/2023,56,365,298,338,284,304,313,378,
01/27/2023,43,344,297,256,278,304,345,345,
01/28/2023,44,286,261,254,247,236,269,293,
01/29/2023,41,321,270,254,248,247,314,327,
01/30/2023,78,392,395,360,366,360,400,394,
01/31/2023,61,363,359,351,311,325,338,367,
02/01/2023,65,369,336,335,315,347,356,402,
02/02/2023,55,414,306,344,296,343,327,362,
02/03/2023,65,369,316,322,308,305,348,407,
02/04/2023,58,337,267,269,261,276,325,292,
02/05/2023,46,341,280,305,250,259,315,336,
02/06/2023,67,464,387,378,346,399,403,434,
02/07/2023,73,396,314,353,310,360,330,368,
02/08/2023,71,365,320,360,289,340,364,359,
02/09/2023,73,384,296,335,321,350,344,364,
02/10/2023,63,373,316,321,289,311,330,362,
02/11/2023,49,344,280,317,290,304,285,331,
02/12/2023,69,305,276,282,256,268,321,324,
02/13/2023,79,461,421,390,326,399,386,427,
02/14/2023,47,382,353,317,313,318,357,402,
02/15/2023,65,341,339,338,286,293,345,345,
02/16/2023,73,340,269,329,284,303,351,388,
02/17/2023,62,373,274,307,264,335,346,333,
02/18/2023,36,325,280,273,262,312,333,329,
02/19/2023,60,333,317,281,216,305,357,330,
02/20/2023,89,442,356,423,327,367,375,423,
02/21/2023,72,394,325,351,338,322,351,370,
02/22/2023,83,377,352,354,274,353,356,371,
02/23/2023,84,388,322,321,303,328,309,348,
02/24/2023,79,370,305,313,306,293,330,384,
02/25/2023,61,318,311,254,275,292,313,345,
02/26/2023,49,342,296,287,252,265,345,315,
02/27/2023,70,438,367,402,373,358,363,406,
02/28/2023,66,350,350,319,292,259,330,337,
03/01/2023,55,341,279,316,301,296,317,351,
03/02/2023,49,348,314,300,301,289,328,392,
03/03/2023,47,333,289,289,288,305,316,362,
03/04/2023,52,341,262,287,248,286,298,286,
03/05/2023,51,338,274,311,262,278,312,311,
03/06/2023,80,425,399,403,351,354,379,398,
03/07/2023,81,397,354,352,290,320,388,385,
03/08/2023,74,356,344,378,313,341,324,375,
03/09/2023,67,435,347,338,309,329,352,413,
03/10/2023,74,377,333,343,292,317,335,364,
03/11/2023,45,329,309,299,252,305,341,348,
03/12/2023,70,330,307,294,269,308,360,348,
03/13/2023,84,406,386,401,385,411,366,453,
03/14/2023,62,418,366,345,326,332,350,381,
03/15/2023,90,414,369,332,314,321,342,391,
03/16/2023,63,370,347,358,297,324,363,376,
03/17/2023,58,360,341,337,295,337,364,368,
03/18/2023,42,333,332,311,281,297,326,346,
03/19/2023,57,365,314,305,287,316,358,311,
03/20/2023,97,468,414,396,373,379,391,450,
03/21/2023,67,346,347,397,324,336,350,381,
03/22/2023,80,402,359,347,297,346,328,392,
03/23/2023,89,366,355,347,319,308,327,383,
03/24/2023,69,351,298,327,287,321,355,388,
03/25/2023,60,329,278,288,289,276,315,343,
03/26/2023,57,344,330,302,275,277,326,344,
03/27/2023,85,419,412,393,331,379,369,388,
03/28/2023,59,380,353,349,319,334,351,393,
03/29/2023,80,371,345,335,294,299,337,383,
03/30/2023,62,359,287,368,279,316,339,375,
03/31/2023,47,354,319,292,293,304,328,374,
04/01/2023,55,334,276,285,263,326,288,328,
04/02/2023,44,359,307,288,260,277,328,381,
04/03/2023,69,391,394,388,344,367,393,424,
04/04/2023,58,379,354,345,334,321,344,368,
04/05/2023,82,377,317,368,290,291,352,358,
04/06/2023,44,358,312,355,314,337,330,369,
04/07/2023,58,284,268,271,263,261,294,359,
04/08/2023,57,333,302,322,285,306,347,361,
04/09/2023,74,343,323,311,270,292,348,367,
04/10/2023,93,483,376,386,341,398,359,419,
04/11/2023,72,410,361,357,311,365,344,390,
04/12/2023,81,357,354,348,326,307,320,435,
04/13/2023,69,379,369,376,297,307,328,378,
04/14/2023,56,401,295,361,288,330,340,379,
04/15/2023,69,322,297,326,250,303,343,320,
04/16/2023,66,354,288,307,284,299,316,380,
04/17/2023,92,447,395,375,336,390,379,437,
04/18/2023,64,371,365,358,306,329,351,394,
04/19/2023,80,357,358,321,301,314,329,374,
04/20/2023,62,349,342,332,272,315,363,374,
04/21/2023,62,306,302,310,292,304,361,346,
04/22/2023,65,315,256,254,240,269,298,352,
04/23/2023,62,337,305,297,291,299,290,360,
04/24/2023,76,379,395,346,326,348,360,455,
04/25/2023,70,427,349,363,311,361,352,394,
04/26/2023,64,412,342,322,305,323,352,376,
04/27/2023,68,374,310,307,304,299,352,414,
04/28/2023,75,361,294,329,311,305,371,362,
04/29/2023,69,361,262,274,247,284,281,318,
04/30/2023,60,338,283,248,291,262,326,352,
05/01/2023,65,331,345,288,289,344,346,369,
05/02/2023,93,410,398,382,359,377,414,465,
05/03/2023,76,353,320,326,330,313,328,371,
05/04/2023,74,379,337,344,315,320,347,377,
05/05/2023,61,369,329,324,279,280,322,357,
05/06/2023,56,338,285,282,272,285,316,363,
05/07/2023,72,355,246,302,255,295,314,376,
05/08/2023,98,442,409,368,363,398,382,413,
05/09/2023,92,379,331,347,306,327,352,390,
05/10/2023,73,380,360,350,291,325,365,368,
05/11/2023,72,372,325,306,298,336,368,393,
05/12/2023,65,352,310,367,248,308,339,389,
05/13/2023,52,359,285,279,262,308,329,381,
05/14/2023,61,302,289,293,236,286,309,361,
05/15/2023,90,394,378,405,338,379,372,397,
05/16/2023,83,380,342,363,311,313,317,386,
05/17/2023,72,363,327,298,297,321,349,380,
05/18/2023,73,384,326,327,304,346,339,352,
05/19/2023,73,332,320,293,294,282,332,364,
05/20/2023,58,285,231,273,268,286,309,304,
05/21/2023,73,316,290,250,220,243,311,276,
05/22/2023,62,410,373,376,354,388,381,416,
05/23/2023,66,352,323,378,284,309,337,393,
05/24/2023,67,370,363,319,261,320,330,351,
05/25/2023,70,393,310,273,307,297,337,345,
05/26/2023,51,370,250,313,294,312,313,334,
05/27/2023,50,278,272,313,260,272,317,329,
05/28/2023,70,274,262,270,223,246,313,292,
05/29/2023,71,402,349,389,331,349,376,407,
05/30/2023,77,362,311,313,292,314,321,379,
05/31/2023,59,344,323,332,279,295,325,364,
06/01/2023,49,344,297,273,270,308,300,371,
06/02/2023,54,344,248,256,204,258,287,344,
06/03/2023,46,361,289,285,272,320,300,354,
06/04/2023,61,329,256,228,272,244,299,293,
06/05/2023,79,431,348,369,347,359,370,391,
06/06/2023,78,354,297,351,315,312,320,361,
06/07/2023,59,351,307,312,290,308,316,356,
06/08/2023,66,346,321,322,300,349,306,422,
06/09/2023,51,341,305,300,249,322,280,379,
06/10/2023,46,286,278,278,261,290,262,357,
06/11/2023,62,338,276,259,230,271,290,344,
06/12/2023,69,402,368,361,331,344,342,424,
06/13/2023,66,364,304,348,309,302,313,420,
06/14/2023,47,369,295,303,302,316,301,376,
06/15/2023,59,313,315,317,295,302,337,363,
06/16/2023,50,367,294,300,298,316,306,344,
06/17/2023,51,315,278,264,246,281,281,327,
06/18/2023,57,299,279,268,252,239,301,311,
06/19/2023,65,441,368,354,319,359,382,414,
06/20/2023,62,336,300,358,281,321,327,374,
06/21/2023,56,362,302,319,304,298,302,364,
06/22/2023,62,384,320,282,277,316,333,382,
06/23/2023,56,319,285,309,260,339,301,361,
06/24/2023,55,322,284,269,242,295,290,345,
06/25/2023,60,344,272,271,226,277,310,297,
06/26/2023,64,436,396,376,337,352,376,392,
06/27/2023,52,353,298,307,288,325,328,390,
06/28/2023,62,365,288,280,275,322,302,358,
06/29/2023,70,303,244,259,241,271,259,328,
06/30/2023,65,378,286,363,306,357,352,370,
07/01/2023,50,325,293,310,256,313,293,348,
07/02/2023,55,329,275,282,242,297,339,304,
07/03/2023,73,400,340,363,345,349,401,422,
07/04/2023,71,402,319,354,314,342,357,385,
07/05/2023,58,355,328,325,292,291,362,373,
07/06/2023,55,342,308,286,281,327,338,344,
07/07/2023,68,368,288,295,271,310,326,395,
07/08/2023,46,326,258,261,275,308,342,312,
07/09/2023,70,335,282,293,227,278,349,330,
07/10/2023,69,437,363,400,323,330,374,413,
07/11/2023,50,357,309,359,298,330,342,386,
07/12/2023,66,352,354,322,294,328,337,360,
07/13/2023,50,397,331,331,301,320,334,359,
07/14/2023,75,386,277,264,275,305,305,392,
07/15/2023,64,297,294,294,229,318,350,371,
07/16/2023,57,352,262,277,246,316,330,321,
07/17/2023,75,377,403,386,361,396,392,448,
07/18/2023,79,348,337,330,295,315,332,348,
07/19/2023,58,369,349,334,281,318,302,383,
07/20/2023,51,357,283,319,261,317,340,397,
07/21/2023,63,360,295,313,297,318,340,364,
07/22/2023,51,318,274,256,290,291,287,306,
07/23/2023,62,323,297,289,238,297,365,355,
07/24/2023,86,433,350,360,329,353,396,376,
07/25/2023,66,370,344,343,304,347,352,417,
07/26/2023,68,369,338,316,305,326,359,379,
07/27/2023,66,383,349,367,321,322,351,357,
07/28/2023,69,344,308,300,257,329,324,346,
07/29/2023,54,343,267,283,264,303,314,334,
07/30/2023,70,372,311,268,259,286,327,348,
07/31/2023,77,444,403,368,333,372,387,427,
08/01/2023,73,423,351,350,326,330,364,394,
08/02/2023,78,367,344,320,294,333,353,394,
08/03/2023,60,377,295,346,307,316,324,361,
08/04/2023,54,334,347,290,315,332,337,391,
08/05/2023,52,290,289,280,257,295,305,324,
08/06/2023,72,336,293,281,258,249,329,323,
08/07/2023,74,431,349,385,352,368,369,419,
08/08/2023,74,349,332,307,316,344,329,346,
08/09/2023,50,251,237,277,240,248,304,312,
08/10/2023,74,406,351,378,331,350,365,437,
08/11/2023,50,392,306,297,315,336,316,380,
08/12/2023,70,352,307,311,289,290,318,334,
08/13/2023,60,315,307,285,270,306,318,314,
08/14/2023,68,452,363,342,363,372,391,395,
08/15/2023,60,406,334,348,301,309,369,375,
08/16/2023,63,368,329,323,300,294,353,363,
08/17/2023,46,357,321,313,273,320,332,396,
08/18/2023,60,339,325,307,301,333,306,338,
08/19/2023,62,321,309,286,218,293,286,325,
08/20/2023,53,347,296,296,278,295,324,351,
08/21/2023,84,425,368,364,315,390,371,421,
08/22/2023,57,402,336,326,326,328,324,362,
08/23/2023,70,368,349,360,298,312,348,386,
08/24/2023,63,354,286,295,308,317,334,385,
08/25/2023,72,314,325,325,290,324,340,367,
08/26/2023,40,314,255,258,254,289,309,341,
08/27/2023,51,315,290,278,233,314,356,312,
08/28/2023,77,387,400,370,376,409,387,419,
08/29/2023,60,389,317,310,375,321,336,403,
08/30/2023,67,428,313,297,308,318,342,368,
08/31/2023,58,376,326,285,264,304,312,358,
09/01/2023,54,288,263,280,253,258,299,331,
09/02/2023,64,345,294,277,311,325,315,369,
09/03/2023,65,314,291,274,276,295,360,332,
09/04/2023,72,455,386,379,369,403,392,454,
09/05/2023,65,384,366,315,321,341,374,371,
09/06/2023,57,376,331,345,313,306,359,368,
09/07/2023,72,351,334,316,289,297,328,375,
09/08/2023,7,363,338,299,323,327,302,335,
09/09/2023,73,309,295,288,279,298,314,324,
09/10/2023,69,326,304,307,265,292,348,319,
09/11/2023,90,405,402,407,341,346,402,446,
09/12/2023,74,387,342,343,355,373,352,401,
09/13/2023,71,400,348,364,300,312,328,370,
09/14/2023,60,405,327,347,327,312,370,382,
09/15/2023,63,385,270,312,300,323,341,375,
09/16/2023,56,338,291,282,281,298,328,311,
09/17/2023,72,315,310,312,258,305,359,369,
09/18/2023,82,447,348,394,358,374,408,437,
09/19/2023,71,375,339,334,325,332,379,390,
09/20/2023,64,374,326,300,317,289,313,356,
09/21/2023,46,342,331,331,339,327,340,392,
09/22/2023,54,341,290,339,289,311,294,356,
09/23/2023,53,334,275,276,274,321,282,303,
09/24/2023,56,312,280,268,234,281,330,309,
09/25/2023,76,427,401,398,362,406,369,442,
09/26/2023,69,384,333,370,317,333,370,367,
09/27/2023,82,360,363,323,330,324,336,427,
09/28/2023,59,352,317,309,300,294,348,373,
09/29/2023,48,390,319,300,291,338,372,354,
09/30/2023,54,356,328,281,263,312,334,337,
10/01/2023,54,348,367,281,261,286,352,344,
10/02/2023,75,428,350,400,348,394,406,427,
10/03/2023,65,403,350,281,301,322,360,384,
10/04/2023,52,384,316,339,318,305,342,393,
10/05/2023,70,375,285,344,316,369,343,377,
10/06/2023,59,361,313,323,308,326,342,376,
10/07/2023,55,300,300,272,282,289,293,341,
10/08/2023,63,329,300,304,270,303,351,349,
10/09/2023,75,450,389,369,364,371,368,464,
10/10/2023,67,379,353,332,315,367,303,358,
10/11/2023,64,422,309,339,314,321,325,436,
10/12/2023,64,369,333,318,325,335,351,360,
10/13/2023,61,333,330,329,286,300,324,353,
10/14/2023,44,317,279,322,257,298,306,316,
10/15/2023,55,326,285,309,262,287,333,327,
10/16/2023,68,404,372,394,359,387,379,444,
10/17/2023,71,384,351,337,314,301,360,381,
10/18/2023,63,343,310,329,273,310,362,380,
10/19/2023,46,366,329,324,310,321,342,375,
10/20/2023,66,358,336,312,308,320,324,402,
10/21/2023,51,324,270,260,248,315,302,333,
10/22/2023,48,316,268,278,254,253,318,345,
10/23/2023,69,399,364,402,388,388,399,382,
10/24/2023,74,351,300,321,303,265,342,361,
10/25/2023,71,357,298,322,293,317,336,384,
10/26/2023,74,361,312,317,297,290,340,383,
10/27/2023,66,377,318,294,312,304,323,361,
10/28/2023,53,335,275,307,258,281,299,338,
10/29/2023,67,351,256,294,223,300,323,323,
10/30/2023,75,439,385,391,370,353,404,426,
10/31/2023,48,345,324,321,293,320,352,362,
11/01/2023,66,390,352,313,298,318,310,365,
11/02/2023,52,363,279,299,320,337,337,350,
11/03/2023,66,355,277,276,311,283,299,347,
11/04/2023,58,334,253,257,270,281,277,296,
11/05/2023,55,314,278,284,261,300,316,297,
11/06/2023,80,400,361,389,328,362,369,399,
11/07/2023,61,338,316,304,301,317,341,373,
11/08/2023,60,351,269,334,293,314,368,354,
11/09/2023,60,322,310,317,291,291,313,344,
11/10/2023,60,340,327,323,279,295,310,330,
11/11/2023,48,353,284,261,268,351,268,323,
11/12/2023,57,319,233,205,259,280,294,321,
11/13/2023,61,357,323,308,265,305,356,344,
11/14/2023,61,437,383,373,372,375,417,418,
11/15/2023,61,335,338,319,283,324,305,387,
11/16/2023,56,344,328,305,323,327,297,363,
11/17/2023,58,322,320,321,272,309,299,332,
11/18/2023,60,338,310,308,285,292,294,328,
11/19/2023,59,349,281,299,266,247,304,340,
11/20/2023,78,445,377,414,367,379,436,427,
11/21/2023,64,392,331,339,336,328,333,372,
11/22/2023,53,345,321,310,316,324,351,388,
11/23/2023,63,367,277,340,297,375,343,390,
11/24/2023,40,375,290,299,301,344,308,371,
11/25/2023,65,332,274,284,254,260,283,329,
11/26/2023,61,327,308,269,221,254,321,341,
11/27/2023,66,413,379,369,306,389,388,427,
11/28/2023,55,392,350,363,309,333,344,370,
11/29/2023,56,381,343,335,303,302,339,386,
11/30/2023,56,377,325,311,326,347,315,390,
12/01/2023,66,374,336,339,293,324,307,370,
12/02/2023,65,342,301,307,281,309,303,355,
12/03/2023,70,335,299,283,258,300,317,356,
12/04/2023,72,402,381,389,376,384,400,429,
12/05/2023,73,404,361,367,353,333,343,403,
12/06/2023,58,397,366,372,335,321,364,446,
12/07/2023,60,398,373,350,344,331,356,361,
12/08/2023,83,378,327,336,329,341,331,413,
12/09/2023,53,349,268,316,308,346,302,374,
12/10/2023,77,365,307,299,273,263,363,375,
12/11/2023,92,449,390,401,406,398,412,499,
12/12/2023,84,379,316,344,331,325,354,382,
12/13/2023,65,408,353,336,351,320,355,371,
12/14/2023,66,356,336,363,311,298,338,365,
12/15/2023,74,366,332,307,325,319,343,420,
12/16/2023,64,336,290,291,268,291,329,328,
12/17/2023,83,322,291,270,236,310,287,319,
12/18/2023,77,463,389,357,355,351,384,420,
12/19/2023,72,358,332,321,340,327,358,390,
12/20/2023,82,372,319,319,311,319,312,375,
12/21/2023,55,344,304,335,302,292,331,366,
12/22/2023,59,332,284,267,271,320,304,338,
12/23/2023,53,302,301,274,279,271,304,322,
12/24/2023,55,309,269,267,237,260,302,316,
12/25/2023,64,350,288,293,260,276,345,315,
12/26/2023,91,397,339,363,347,357,398,394,
12/27/2023,61,370,335,329,323,301,346,357,
12/28/2023,69,341,336,331,285,323,336,382,
12/29/2023,70,328,316,308,264,297,313,343,
12/30/2023,57,363,305,278,259,308,306,332,
12/31/2023,59,292,250,258,236,265,305,282,
01/01/2024,64,331,319,306,266,296,365,321,
01/02/2024,89,447,399,406,357,377,409,427,
01/03/2024,67,366,347,361,333,316,367,391,
