Daily ED Attendances by Hospital,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
2023-01-01 00:00:00,64,351,286,252,257,309,333,336,
2023-01-02 00:00:00,61,386,326,314,334,342,346,370,
2023-01-03 00:00:00,76,436,401,364,352,343,397,422,
2023-01-04 00:00:00,74,354,311,330,286,305,327,361,
2023-01-05 00:00:00,61,373,335,320,309,337,351,366,
2023-01-06 00:00:00,49,353,305,287,304,302,340,350,
2023-01-07 00:00:00,48,296,296,274,268,286,309,391,
2023-01-08 00:00:00,56,342,273,255,268,257,359,278,
2023-01-09 00:00:00,83,398,379,382,341,359,409,426,
2023-01-10 00:00:00,59,389,374,350,319,301,336,382,
2023-01-11 00:00:00,51,354,305,316,300,307,325,316,
2023-01-12 00:00:00,52,351,287,345,276,302,323,354,
2023-01-13 00:00:00,54,381,304,308,291,275,285,355,
2023-01-14 00:00:00,42,327,291,298,247,281,307,317,
2023-01-15 00:00:00,68,282,270,242,235,262,319,304,
2023-01-16 00:00:00,67,403,341,385,325,342,362,388,
2023-01-17 00:00:00,55,354,313,327,242,278,315,313,
2023-01-18 00:00:00,52,332,308,314,262,290,311,333,
2023-01-19 00:00:00,50,329,300,288,265,277,277,333,
2023-01-20 00:00:00,47,322,251,275,274,293,286,287,
2023-01-21 00:00:00,55,300,218,233,225,252,263,280,
2023-01-22 00:00:00,39,288,239,273,162,208,285,278,
2023-01-23 00:00:00,57,340,293,291,245,303,312,352,
2023-01-24 00:00:00,45,360,338,358,268,324,368,363,
2023-01-25 00:00:00,54,389,372,278,337,323,390,424,
2023-01-26 00:00:00,56,365,298,338,284,304,313,378,
2023-01-27 00:00:00,43,344,297,256,278,304,345,345,
2023-01-28 00:00:00,44,286,261,254,247,236,269,293,
2023-01-29 00:00:00,41,321,270,254,248,247,314,327,
2023-01-30 00:00:00,78,392,395,360,366,360,400,394,
2023-01-31 00:00:00,61,363,359,351,311,325,338,367,
2023-02-01 00:00:00,65,369,336,335,315,347,356,402,
2023-02-02 00:00:00,55,414,306,344,296,343,327,362,
2023-02-03 00:00:00,65,369,316,322,308,305,348,407,
2023-02-04 00:00:00,58,337,267,269,261,276,325,292,
2023-02-05 00:00:00,46,341,280,305,250,259,315,336,
2023-02-06 00:00:00,67,464,387,378,346,399,403,434,
2023-02-07 00:00:00,73,396,314,353,310,360,330,368,
2023-02-08 00:00:00,71,365,320,360,289,340,364,359,
2023-02-09 00:00:00,73,384,296,335,321,350,344,364,
2023-02-10 00:00:00,63,373,316,321,289,311,330,362,
2023-02-11 00:00:00,49,344,280,317,290,304,285,331,
2023-02-12 00:00:00,69,305,276,282,256,268,321,324,
2023-02-13 00:00:00,79,461,421,390,326,399,386,427,
2023-02-14 00:00:00,47,382,353,317,313,318,357,402,
2023-02-15 00:00:00,65,341,339,338,286,293,345,345,
2023-02-16 00:00:00,73,340,269,329,284,303,351,388,
2023-02-17 00:00:00,62,373,274,307,264,335,346,333,
2023-02-18 00:00:00,36,325,280,273,262,312,333,329,
2023-02-19 00:00:00,60,333,317,281,216,305,357,330,
2023-02-20 00:00:00,89,442,356,423,327,367,375,423,
2023-02-21 00:00:00,72,394,325,351,338,322,351,370,
2023-02-22 00:00:00,83,377,352,354,274,353,356,371,
2023-02-23 00:00:00,84,388,322,321,303,328,309,348,
2023-02-24 00:00:00,79,370,305,313,306,293,330,384,
2023-02-25 00:00:00,61,318,311,254,275,292,313,345,
2023-02-26 00:00:00,49,342,296,287,252,265,345,315,
2023-02-27 00:00:00,70,438,367,402,373,358,363,406,
2023-02-28 00:00:00,66,350,350,319,292,259,330,337,
2023-03-01 00:00:00,55,341,279,316,301,296,317,351,
2023-03-02 00:00:00,49,348,314,300,301,289,328,392,
2023-03-03 00:00:00,47,333,289,289,288,305,316,362,
2023-03-04 00:00:00,52,341,262,287,248,286,298,286,
2023-03-05 00:00:00,51,338,274,311,262,278,312,311,
2023-03-06 00:00:00,80,425,399,403,351,354,379,398,
2023-03-07 00:00:00,81,397,354,352,290,320,388,385,
2023-03-08 00:00:00,74,356,344,378,313,341,324,375,
2023-03-09 00:00:00,67,435,347,338,309,329,352,413,
2023-03-10 00:00:00,74,377,333,343,292,317,335,364,
2023-03-11 00:00:00,45,329,309,299,252,305,341,348,
2023-03-12 00:00:00,70,330,307,294,269,308,360,348,
2023-03-13 00:00:00,84,406,386,401,385,411,366,453,
2023-03-14 00:00:00,62,418,366,345,326,332,350,381,
2023-03-15 00:00:00,90,414,369,332,314,321,342,391,
2023-03-16 00:00:00,63,370,347,358,297,324,363,376,
2023-03-17 00:00:00,58,360,341,337,295,337,364,368,
2023-03-18 00:00:00,42,333,332,311,281,297,326,346,
2023-03-19 00:00:00,57,365,314,305,287,316,358,311,
2023-03-20 00:00:00,97,468,414,396,373,379,391,450,
2023-03-21 00:00:00,67,346,347,397,324,336,350,381,
2023-03-22 00:00:00,80,402,359,347,297,346,328,392,
2023-03-23 00:00:00,89,366,355,347,319,308,327,383,
2023-03-24 00:00:00,69,351,298,327,287,321,355,388,
2023-03-25 00:00:00,60,329,278,288,289,276,315,343,
2023-03-26 00:00:00,57,344,330,302,275,277,326,344,
2023-03-27 00:00:00,85,419,412,393,331,379,369,388,
2023-03-28 00:00:00,59,380,353,349,319,334,351,393,
2023-03-29 00:00:00,80,371,345,335,294,299,337,383,
2023-03-30 00:00:00,62,359,287,368,279,316,339,375,
2023-03-31 00:00:00,47,354,319,292,293,304,328,374,
2023-04-01 00:00:00,55,334,276,285,263,326,288,328,
2023-04-02 00:00:00,44,359,307,288,260,277,328,381,
2023-04-03 00:00:00,69,391,394,388,344,367,393,424,
2023-04-04 00:00:00,58,379,354,345,334,321,344,368,
2023-04-05 00:00:00,82,377,317,368,290,291,352,358,
2023-04-06 00:00:00,44,358,312,355,314,337,330,369,
2023-04-07 00:00:00,58,284,268,271,263,261,294,359,
2023-04-08 00:00:00,57,333,302,322,285,306,347,361,
2023-04-09 00:00:00,74,343,323,311,270,292,348,367,
2023-04-10 00:00:00,93,483,376,386,341,398,359,419,
2023-04-11 00:00:00,72,410,361,357,311,365,344,390,
2023-04-12 00:00:00,81,357,354,348,326,307,320,435,
2023-04-13 00:00:00,69,379,369,376,297,307,328,378,
2023-04-14 00:00:00,56,401,295,361,288,330,340,379,
2023-04-15 00:00:00,69,322,297,326,250,303,343,320,
2023-04-16 00:00:00,66,354,288,307,284,299,316,380,
2023-04-17 00:00:00,92,447,395,375,336,390,379,437,
2023-04-18 00:00:00,64,371,365,358,306,329,351,394,
2023-04-19 00:00:00,80,357,358,321,301,314,329,374,
2023-04-20 00:00:00,62,349,342,332,272,315,363,374,
2023-04-21 00:00:00,62,306,302,310,292,304,361,346,
2023-04-22 00:00:00,65,315,256,254,240,269,298,352,
2023-04-23 00:00:00,62,337,305,297,291,299,290,360,
