date,name
01/01/2023,New Year's Day
22/01/2023,Chinese New Year
23/01/2023,Chinese New Year (Day 2)
07/04/2023,Good Friday
22/04/2023,Hari Raya Puasa
01/05/2023,Labor Day
02/06/2023,Vesak Day
29/06/2023,Hari Raya Haji
09/08/2023,National Day
12/11/2023,Deepavali
25/12/2023,Christmas Day
01/01/2024,New Year's Day
10/02/2024,Chinese New Year
11/02/2024,Chinese New Year (Day 2)
29/03/2024,Good Friday
10/04/2024,Hari Raya Puasa
01/05/2024,Labor Day
22/05/2024,Vesak Day
17/06/2024,Hari Raya Haji
09/08/2024,National Day
31/10/2024,Deepavali
25/12/2024,Christmas Day
01/01/2025,New Year's Day
29/01/2025,Chinese New Year
30/01/2025,Chinese New Year (Day 2)
18/04/2025,Good Friday
31/03/2025,Hari Raya Puasa
01/05/2025,Labor Day
12/05/2025,Vesak Day
07/06/2025,Hari Raya Haji
09/08/2025,National Day
20/10/2025,Deepavali
25/12/2025,Christmas Day
