date,name
2023-01-01,New Year's Day
2023-01-22,Chinese New Year
2023-01-23,Chinese New Year (Day 2)
2023-04-07,Good Friday
2023-04-22,Hari Raya Puasa
2023-05-01,Labor Day
2023-06-02,Vesak Day
2023-06-29,Hari Raya Haji
2023-08-09,National Day
2023-11-12,Deepavali
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-02-10,Chinese New Year
2024-02-11,Chinese New Year (Day 2)
2024-03-29,Good Friday
2024-04-10,Hari Raya Puasa
2024-05-01,Labor Day
2024-05-22,Vesak Day
2024-06-17,Hari Raya Haji
2024-08-09,National Day
2024-10-31,Deepavali
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-01-29,Chinese New Year
2025-01-30,Chinese New Year (Day 2)
2025-04-18,Good Friday
2025-03-31,Hari Raya Puasa
2025-05-01,Labor Day
2025-05-12,Vesak Day
2025-06-07,Hari Raya Haji
2025-08-09,National Day
2025-10-20,Deepavali
2025-12-25,Christmas Day
